wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?,note,removed EN
wn:15264726n,bn:00000627n,,accelerando,A gradually increasing tempo of music,YES,,
wn:15264726n,bn:00000627n,,halo,A gradually increasing tempo of music,YES,,
wn:15264726n,bn:00000627n,,nightfall,A gradually increasing tempo of music,YES,,
wn:15264726n,bn:00000627n,,accelenrando,A gradually increasing tempo of music,YES,,
wn:15264726n,bn:00000627n,,lobsters,A gradually increasing tempo of music,YES,,
wn:15264726n,bn:00000627n,,survivor,A gradually increasing tempo of music,YES,,
wn:14377830n,bn:00000968n,,auditory_hallucination,Illusory auditory perception of strange nonverbal sounds,YES,,
wn:14377830n,bn:00000968n,,acousma,Illusory auditory perception of strange nonverbal sounds,YES,,
wn:14377830n,bn:00000968n,,paracusia,Illusory auditory perception of strange nonverbal sounds,YES,,
wn:14377830n,bn:00000968n,,auditory_hallucinations,Illusory auditory perception of strange nonverbal sounds,YES,,
wn:14377830n,bn:00000968n,,audio_hallucination,Illusory auditory perception of strange nonverbal sounds,YES,,
wn:14377830n,bn:00000968n,,auditory_verbal_hallucinations,Illusory auditory perception of strange nonverbal sounds,YES,,
wn:14377830n,bn:00000968n,,voice_hearing,Illusory auditory perception of strange nonverbal sounds,YES,,
wn:11425401n,bn:00000980n,,acoustic_phenomenon,A physical phenomenon associated with the production or transmission of sound,YES,,
wn:2676097n,bn:00000972n,,acoustic_delay_line,A delay line based on the time of propagation of sound waves,YES,,
wn:2676097n,bn:00000972n,,sonic_delay_line,A delay line based on the time of propagation of sound waves,YES,,
wn:2676261n,bn:00000973n,,acoustic_device,A device for amplifying or transmitting sound,YES,,
wn:11512331n,bn:00000982n,,sound_projection,The acoustic phenomenon that gives sound a penetrating quality,YES,,
wn:11512331n,bn:00000982n,,acoustic_projection,The acoustic phenomenon that gives sound a penetrating quality,YES,,
wn:11512331n,bn:00000982n,,projection,The acoustic phenomenon that gives sound a penetrating quality,YES,,
wn:5100866n,bn:00000981n,,sound_pressure_level,The physical intensity of sound,YES,,
wn:5100866n,bn:00000981n,,acoustic_power,The physical intensity of sound,YES,,
wn:5100866n,bn:00000981n,,acoustic_level,The physical intensity of sound,YES,,
wn:11504478n,bn:00000976n,,acoustic_impedance,Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
wn:11504478n,bn:00000976n,,acoustic_reactance,Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
wn:11504478n,bn:00000976n,,acoustic_resistance,Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
wn:11504478n,bn:00000976n,,characteristic_acoustic_impedance,Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
wn:11504478n,bn:00000976n,,characteristic_impedance_of_a_medium_for_longitudinal_waves,Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
wn:11504478n,bn:00000976n,,characteristic_impedance_of_a_medium,Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
wn:11504478n,bn:00000976n,,acoustical_impedance,Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
wn:11504478n,bn:00000976n,,characteristic_specific_acoustic_impedance,Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
wn:11504478n,bn:00000976n,,radiation_impedence,Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
