wn_synset,bn:id,pos,lemmata EN,definition,lemmata ES,is it related to music?,note
,bn:00284803n,,"west_end_theatre, west_end_musical, theatre_in_london, west_end, theatreland, west_end_theatres, london_stage, west_end_production, london_theatre, west_end_theater, west_end_play, west_end_revival, west_end_stage",West End theatre is mainstream professional theatre staged in the large theatres in and near the West End of London.,teatros_del_west_end,YES,
,bn:00284803n,,"west_end_theatre, west_end_musical, theatre_in_london, west_end, theatreland, west_end_theatres, london_stage, west_end_production, london_theatre, west_end_theater, west_end_play, west_end_revival, west_end_stage",West End theatre is mainstream professional theatre staged in the large theatres in and near the West End of London.,teatro_del_west_end,YES,
,bn:00284803n,,"west_end_theatre, west_end_musical, theatre_in_london, west_end, theatreland, west_end_theatres, london_stage, west_end_production, london_theatre, west_end_theater, west_end_play, west_end_revival, west_end_stage",West End theatre is mainstream professional theatre staged in the large theatres in and near the West End of London.,teatro_de_west_end,YES,
,bn:00284803n,,"west_end_theatre, west_end_musical, theatre_in_london, west_end, theatreland, west_end_theatres, london_stage, west_end_production, london_theatre, west_end_theater, west_end_play, west_end_revival, west_end_stage",West End theatre is mainstream professional theatre staged in the large theatres in and near the West End of London.,teatros_de_west_end,YES,
,bn:00284803n,,"west_end_theatre, west_end_musical, theatre_in_london, west_end, theatreland, west_end_theatres, london_stage, west_end_production, london_theatre, west_end_theater, west_end_play, west_end_revival, west_end_stage",West End theatre is mainstream professional theatre staged in the large theatres in and near the West End of London.,theatreland,YES,
,bn:00284803n,,"west_end_theatre, west_end_musical, theatre_in_london, west_end, theatreland, west_end_theatres, london_stage, west_end_production, london_theatre, west_end_theater, west_end_play, west_end_revival, west_end_stage",West End theatre is mainstream professional theatre staged in the large theatres in and near the West End of London.,teatros,YES,
,bn:08518321n,,,"El tabal o tabalet és un instrument musical de percussió de forma cilíndrica, amb dues membranes –normalment de cuir–, que emet un so indeterminat.",tabal,YES,
,bn:00339257n,,synthpunk,"Synthpunk je hudební žánr, který kombinuje prvky elektronické hudby a punk rocku.",synthpunk,YES,
,bn:00339257n,,synthpunk,"Synthpunk je hudební žánr, který kombinuje prvky elektronické hudby a punk rocku.",electropunk,YES,
,bn:00339257n,,synthpunk,"Synthpunk je hudební žánr, který kombinuje prvky elektronické hudby a punk rocku.",punk_synth,YES,
,bn:00799530n,,sustain,Sustain označuje dobu trvání ustáleného zvuku hudebního nástroje.,sustain,YES,
,bn:08446743n,,,single,stole,YES,
,bn:03053689n,,staccatissimo,大斷奏（義大利語：Staccatissimo），又稱特斷音，意指把一音符彈得非常短促，程度高於斷音。,staccatissimo,YES,
,bn:00073362n,,"spike_mike, spike_microphone",A contact microphone for listening through walls,spike_mike,YES,
,bn:00485785n,,d_tuning,Optional.empty,sintonía_d,YES,
,bn:02119389n,,,Optional.empty,sintetizador_moog,YES,
,bn:01900635n,,Rapcore,Optional.empty,rapcore,YES,
,bn:02420996n,,sweet_spot,"The sweet spot is a term used by audiophiles and recording engineers to describe the focal point between two speakers, where an individual is fully capable of hearing the stereo audio mix the way it was intended to be heard by the mixer.",punto_dulce,YES,
,bn:08590655n,,,Drinking song,punschen_kommer,YES,
,bn:01490155n,,,Optional.empty,programador_sintetizador,YES,
,bn:03199792n,,prima_pratica,"Le terme Prima pratica utilisé dans les débuts de la musique baroque, fait référence particulièrement au style de Palestrina, ou au style codifié par Gioseffo Zarlino.",prima_pratica,YES,
,bn:02965712n,,post-romanticism,Mouvement artistique,postromanticismo,YES,
,bn:02965712n,,post-romanticism,Mouvement artistique,posromanticismo,YES,
,bn:02965712n,,post-romanticism,Mouvement artistique,postromanticismno,YES,
,bn:02965712n,,post-romanticism,Mouvement artistique,post-romanticismo,YES,
,bn:01722040n,,Pop-Folk,Optional.empty,pop-folk,YES,
,bn:00962668n,,piano_blues,"Пиано блус означава различните блус стилове, които използват като основен инструмент пианото.",piano_blues,YES,
,bn:00963476n,,new_york_blues,New York blues is een subgenre van bluesmuziek.,new_york_blues,YES,
,bn:00963476n,,new_york_blues,New York blues is een subgenre van bluesmuziek.,blues_de_nueva_york,YES,
,bn:01072408n,,post-industrial_music,Music genre,música_post-industrial,YES,
,bn:01072408n,,post-industrial_music,Music genre,musica_post-industrial,YES,
,bn:01072408n,,post-industrial_music,Music genre,musica_posindustrial,YES,
,bn:01072408n,,post-industrial_music,Music genre,post-industrial,YES,
,bn:02721280n,,,Optional.empty,música_espacial,YES,
,bn:01756037n,,"history_of_music_in_the_biblical_period, music_of_the_canaanites, biblical_music, history_of_music_of_the_bible, music_as_a_divine_art, music_in_the_bible, music_of_the_bible, bible_music",Knowledge of the biblical period is mostly from literary references in the Bible and post-biblical sources.,música_en_la_biblia,YES,
,bn:01756037n,,"history_of_music_in_the_biblical_period, music_of_the_canaanites, biblical_music, history_of_music_of_the_bible, music_as_a_divine_art, music_in_the_bible, music_of_the_bible, bible_music",Knowledge of the biblical period is mostly from literary references in the Bible and post-biblical sources.,musica_en_la_biblia,YES,
,bn:01963411n,,montuno,Montuno has several meanings pertaining to Cuban music and its derivatives.,montuno,YES,
,bn:08677135n,,,Drinking song,mera_brännvin,YES,
,bn:00257079n,,,"La livetronica, ou jamtronica, est un genre musical mêlant des éléments de jam band à ceux de l'electronica,.",livetronica,YES,
,bn:03229151n,,"punk_literature, punklit, punk_poet, punk_lit, punk_poetry, punk_fiction, ranting_poet",Punk literature is literature related to the punk subculture.,literatura_punk,YES,
,bn:03229151n,,"punk_literature, punklit, punk_poet, punk_lit, punk_poetry, punk_fiction, ranting_poet",Punk literature is literature related to the punk subculture.,poeta_del_punk,YES,
,bn:03245008n,,"straight-ahead_jazz, straightahead_jazz",Straight-ahead jazz refers to jazz music that eschews the rock music influences that began to appear in jazz during the late 1960s.,línea_recta_jazz,YES,
,bn:00049555n,,"labanotation, kinetography_laban, laban_notation",A system of notation for dance movements that uses symbols to represent points on a dancer's body and the direction of the dancer's movement and the tempo and the dynamics,labanotation,YES,
,bn:00049555n,,"labanotation, kinetography_laban, laban_notation",A system of notation for dance movements that uses symbols to represent points on a dancer's body and the direction of the dancer's movement and the tempo and the dynamics,labalotation,YES,
,bn:02379671n,,"kokle, kokles, concert_kokles, zither_kokles",Kokle ,kokle,YES,
,bn:03271664n,,kinderwhore,Kinderwhore was a clothing style used by a handful of mostly female grunge bands in the US during the early to mid-1990s.,kinderwhore,YES,
,bn:00943438n,,baltimore_jazz,Optional.empty,jazz_baltimore,YES,
,bn:00328024n,,,Italo dance és el nom d'un gènere musical derivat de l'eurodance que s'anomena així per la procedència italiana de molts dels seus productors més famosos.,italo_dance,YES,
,bn:00328024n,,,Italo dance és el nom d'un gènere musical derivat de l'eurodance que s'anomena així per la procedència italiana de molts dels seus productors més famosos.,mediterranean_progressive,YES,
,bn:00328024n,,,Italo dance és el nom d'un gènere musical derivat de l'eurodance que s'anomena així per la procedència italiana de molts dels seus productors més famosos.,italodance,YES,
,bn:03326423n,,"italian_hip_hop, italian_rap, italian_hip_hop_movement",Italian hip hop started in the 1980s.,hip_hop_italiano,YES,
,bn:03326423n,,"italian_hip_hop, italian_rap, italian_hip_hop_movement",Italian hip hop started in the 1980s.,rap_italiano,YES,
,bn:08581477n,,,Drinking song,halvan,YES,
,bn:15014430n,,,Optional.empty,guitarra_española,YES,
,bn:02422749n,,"grands_motets, grand_motet","The grand motet was a genre of motet cultivated at the height of the French baroque, although the term dates from later French usage.",gran_motete,YES,
,bn:02422749n,,"grands_motets, grand_motet","The grand motet was a genre of motet cultivated at the height of the French baroque, although the term dates from later French usage.",motetes_grands,YES,
,bn:03211527n,,,Optional.empty,estratosférico,YES,
,bn:00908751n,,"bristol_underground_scene, bristol_sound, bristol_urban_culture","The Bristol underground scene, refers to a cultural movement in Bristol beginning in the early 1980s.",escena_subterránea_de_bristol,YES,
,bn:00908751n,,"bristol_underground_scene, bristol_sound, bristol_urban_culture","The Bristol underground scene, refers to a cultural movement in Bristol beginning in the early 1980s.",escena_subterranea_de_bristol,YES,
,bn:16260654n,,,"Los Ejes musicales de Colombia son el conjunto de regiones culturales cuyas músicas folclóricas comparten géneros, estilos musicales y formatos de instrumentación.",ejes_musicales_de_colombia,YES,
,bn:16260654n,,,"Los Ejes musicales de Colombia son el conjunto de regiones culturales cuyas músicas folclóricas comparten géneros, estilos musicales y formatos de instrumentación.",musica_folclorica_de_colombia,YES,
,bn:16260654n,,,"Los Ejes musicales de Colombia son el conjunto de regiones culturales cuyas músicas folclóricas comparten géneros, estilos musicales y formatos de instrumentación.",música_folclorica_de_colombia,YES,
,bn:16260654n,,,"Los Ejes musicales de Colombia son el conjunto de regiones culturales cuyas músicas folclóricas comparten géneros, estilos musicales y formatos de instrumentación.",música_folclórica_de_colombia,YES,
,bn:16260654n,,,"Los Ejes musicales de Colombia son el conjunto de regiones culturales cuyas músicas folclóricas comparten géneros, estilos musicales y formatos de instrumentación.",musica_folclórica_de_colombia,YES,
,bn:09001210n,,dutch_house,Sottogenere di musica house,dutch_house,YES,
,bn:00852160n,,,Optional.empty,cumbia_sonidera,YES,
,bn:00024018n,,"crosstalk, xt",The presence of an unwanted signal via an accidental coupling,crosstalk,YES,
,bn:00024018n,,"crosstalk, xt",The presence of an unwanted signal via an accidental coupling,diafonía,YES,
,bn:00024018n,,"crosstalk, xt",The presence of an unwanted signal via an accidental coupling,xt,YES,
,bn:01568005n,,country_folk,Countryfolk is een muziekfusion die voortkomt uit een combinatie van countrymuziek en folk.,country_folk,YES,
,bn:01568005n,,country_folk,Countryfolk is een muziekfusion die voortkomt uit een combinatie van countrymuziek en folk.,gente_del_campo,YES,
,bn:03147694n,,,Seznam názvů operet podle abecedy.,corpus_ópera,YES,
,bn:08901011n,,,"Nella struttura di un'opera lirica, oltre alla presenza dei personaggi principali e secondari, è prevista quella del coro.",coro,YES,
,bn:00260139n,,countersubject,Le contre-sujet est un terme utilisé dans le domaine de la fugue en musique classique.,contrasujeto,YES,
,bn:02474018n,,,الهيب هوب الكوميدي أو راب الكوميديا هو نوع فرعي من موسيقى الهيب هوب يتضمن عادة كلمات ساخرة.,comedy_hip_hop,YES,
,bn:02474018n,,,الهيب هوب الكوميدي أو راب الكوميديا هو نوع فرعي من موسيقى الهيب هوب يتضمن عادة كلمات ساخرة.,rap_comico,YES,
