wn_synset,bn:id,pos,lemmata EN,definition,lemmata FR,is it related to music?
,bn:00000132n,,"78_rpm, 78_rpm_disc, 78_rpm_record, seventy-eight, 78",A shellac based phonograph record that played at 78 revolutions per minute,disque_78_tours,YES
,bn:00000627n,,"accelerando, halo, nightfall, accelenrando, lobsters, survivor",A gradually increasing tempo of music,accelerando,YES
,bn:00000972n,,"acoustic_delay_line, sonic_delay_line",A delay line based on the time of propagation of sound waves,ligne_à_retard_acoustique,YES
,bn:00000972n,,"acoustic_delay_line, sonic_delay_line",A delay line based on the time of propagation of sound waves,ligne_de_délai,YES
,bn:00000973n,,acoustic_device,A device for amplifying or transmitting sound,dispositif_acoustique,YES
,bn:00000976n,,"acoustic_impedance, specific_acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, characteristic_acoustic_impedance, acoustical_impedance, sound_impedance, volume_velocity",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,impédance_acoustique,YES
,bn:00000976n,,"acoustic_impedance, specific_acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, characteristic_acoustic_impedance, acoustical_impedance, sound_impedance, volume_velocity",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,impédance_acoustique_spécifique,YES
,bn:00000980n,,acoustic_phenomenon,A physical phenomenon associated with the production or transmission of sound,phénomène_acoustique,YES
,bn:00000981n,,"sound_intensity, acoustic_intensity, sound_pressure_level, acoustic_power, acoustic_level, sound_intensity_level, SIL, acoustic_intensity_level",The physical intensity of sound,intensité_acoustique,YES
,bn:00000981n,,"sound_intensity, acoustic_intensity, sound_pressure_level, acoustic_power, acoustic_level, sound_intensity_level, SIL, acoustic_intensity_level",The physical intensity of sound,intensité_sonore,YES
,bn:00000981n,,"sound_intensity, acoustic_intensity, sound_pressure_level, acoustic_power, acoustic_level, sound_intensity_level, SIL, acoustic_intensity_level",The physical intensity of sound,puissance_acoustique,YES
,bn:00000982n,,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,projection_acoustique,YES
,bn:00000982n,,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,projection,YES
,bn:00000982n,,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,projection_sonore,YES
,bn:00000983n,,acoustic_radiation_pressure,(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave,pression_de_radiation_acoustique,YES
,bn:00000984n,,"sound_spectrum, acoustic_spectrum",The distribution of energy as a function of frequency for a particular sound source,spectre_acoustique,YES
,bn:00000984n,,"sound_spectrum, acoustic_spectrum",The distribution of energy as a function of frequency for a particular sound source,spectre_sonore,YES
,bn:00000984n,,"sound_spectrum, acoustic_spectrum",The distribution of energy as a function of frequency for a particular sound source,série_harmonique,YES
,bn:00000986n,,"sound_wave, acoustic_wave, sound, sound_propagation, pressure_wave",(acoustics) a wave that transmits sound,onde_sonore,YES
,bn:00000986n,,"sound_wave, acoustic_wave, sound, sound_propagation, pressure_wave",(acoustics) a wave that transmits sound,onde_acoustique,YES
,bn:00000986n,,"sound_wave, acoustic_wave, sound, sound_propagation, pressure_wave",(acoustics) a wave that transmits sound,son,YES
,bn:00000987n,,acoustician,A physicist who specializes in acoustics,acousticien,YES
