wn_synset,bn:id,pos,lemmata EN,definition,lemmata ES,is it related to music?,note
,bn:02496101n,,music_history_of_the_united_states_in_the_1960s,,historia_musical_de_los_estados_unidos_en_los_1960s,YES,eliminata la definition
,bn:01209096n,,zulu_music,The Zulu people are a South African ethnic group.,música_zulú,YES,
,bn:00349630n,,transition_from_renaissance_to_baroque_in_instrumental_music,"In the years centering on 1600 in Europe, several distinct shifts emerged in ways of thinking about the purposes, writing and performance of music.",transición_del_renacimiento_al_barroco_en_la_música_instrumental,YES,
,bn:03290413n,,tour_accountant,A Tour Accountant is responsible for the financial operations of a large scale concert tour.,contable_de_gira,YES,
,bn:01549708n,,tamil_folk_culture,Tamil folk culture refers to folk arts and crafts of the Tamil people.,cultura_folk_tamil,YES,
,bn:00791135n,,"sioux_music, dakota_music, nakota_music, lakota_music","The Sioux are a large group of Native Americans generally divided into three subgroups: Lakota, Dakota and Nakota.",música_sioux,YES,
,bn:00791135n,,"sioux_music, dakota_music, nakota_music, lakota_music","The Sioux are a large group of Native Americans generally divided into three subgroups: Lakota, Dakota and Nakota.",música_dakota,YES,
,bn:00791135n,,"sioux_music, dakota_music, nakota_music, lakota_music","The Sioux are a large group of Native Americans generally divided into three subgroups: Lakota, Dakota and Nakota.",música_nakota,YES,
,bn:00791135n,,"sioux_music, dakota_music, nakota_music, lakota_music","The Sioux are a large group of Native Americans generally divided into three subgroups: Lakota, Dakota and Nakota.",música_lakota,YES,
,bn:02621385n,,"shawty, shorty","Shawty, shorty, or shortie is an American slang used as a term of endearment for an attractive woman or a girlfriend, that was particularly popular in hip hop from the 2000s.",cariño,YES,
,bn:02621385n,,"shawty, shorty","Shawty, shorty, or shortie is an American slang used as a term of endearment for an attractive woman or a girlfriend, that was particularly popular in hip hop from the 2000s.",pequeña,YES,
,bn:14720872n,,serbian_traditional_music,Негде дубоко у вековима на извору српског народа потекла је и песма.,música_serbia_tradicional,YES,
,bn:15368638n,,"scottish_baroque_music, classical_music_in_scotland, scottish_baroque","Classical music in Scotland is all art music in the Western European classical tradition, between its introduction in the eighteenth century until the present day.",música_barroca_escosés,YES,
,bn:15368638n,,"scottish_baroque_music, classical_music_in_scotland, scottish_baroque","Classical music in Scotland is all art music in the Western European classical tradition, between its introduction in the eighteenth century until the present day.",música_clásica_en_escocia,YES,
,bn:15368638n,,"scottish_baroque_music, classical_music_in_scotland, scottish_baroque","Classical music in Scotland is all art music in the Western European classical tradition, between its introduction in the eighteenth century until the present day.",barroco_escosés,YES,
,bn:17347571n,,"rock_music_of_west_bengal, west_bengal_rock_music","Rock music of West Bengal originated in Kolkata, West Bengal, India.",música_rock_del_bengala_occidental,YES,
,bn:00682224n,,"rock_music_in_switzerland, swiss_rock","Rock and roll first entered Switzerland in the 1950s, as a series of American musicians popularized the style internationally.",música_rock_en_suiza,YES,
,bn:00682224n,,"rock_music_in_switzerland, swiss_rock","Rock and roll first entered Switzerland in the 1950s, as a series of American musicians popularized the style internationally.",rock_suizo,YES,
,bn:00487163n,,"rock_music_in_portugal, portuguese_rock, portugeues_rock, portugues_rock",Rock music and its subgenres are very popular in Portugal.,música_rock_en_portugal,YES,
,bn:00487163n,,"rock_music_in_portugal, portuguese_rock, portugeues_rock, portugues_rock",Rock music and its subgenres are very popular in Portugal.,rock_portugués,YES,
,bn:00962191n,,"rock_music_in_lithuania, lithuanian_rock",Rock music has been performed and heard in Lithuania since the mid-1960s.,música_rock_en_lituania,YES,
,bn:00962191n,,"rock_music_in_lithuania, lithuanian_rock",Rock music has been performed and heard in Lithuania since the mid-1960s.,rock_lituano,YES,
,bn:00682103n,,"rock_music_in_bosnia_and_herzegovina, bosnian_rock",The rock music of Bosnia and Herzegovina mostly developed during the time when Bosnia was part of socialist Yugoslavia.,música_rock_en_bosnia_y_herzegovina,YES,
,bn:00682103n,,"rock_music_in_bosnia_and_herzegovina, bosnian_rock",The rock music of Bosnia and Herzegovina mostly developed during the time when Bosnia was part of socialist Yugoslavia.,rock_bosnio,YES,
,bn:00634282n,,religious_music_in_iran,Religious music in Iran is rich in melodies and genres.,música_religiosa_en_irán,YES,
,bn:00168766n,,"religious_jewish_music, judaic_music, jewish_liturgical_music",This article describes the principal types of religious Jewish music from the days of the Temple to modern times.,música_judía_religiosa,YES,
,bn:00168766n,,"religious_jewish_music, judaic_music, jewish_liturgical_music",This article describes the principal types of religious Jewish music from the days of the Temple to modern times.,música_judaica,YES,
,bn:00168766n,,"religious_jewish_music, judaic_music, jewish_liturgical_music",This article describes the principal types of religious Jewish music from the days of the Temple to modern times.,música_litúrgica_judía,YES,
,bn:02466009n,,"regional_styles_of_mexican_music, spanish_oldies, spanish_contemporary, mexican_regional_music, regional_mexican_music, son_jalicense, regional_variations_of_mexican_music",Regional styles of Mexican music vary greatly vary from state to state.,estilo_regional_de_música_mexicana,YES,
,bn:02466009n,,"regional_styles_of_mexican_music, spanish_oldies, spanish_contemporary, mexican_regional_music, regional_mexican_music, son_jalicense, regional_variations_of_mexican_music",Regional styles of Mexican music vary greatly vary from state to state.,viejo_éxito_español,YES,
,bn:02466009n,,"regional_styles_of_mexican_music, spanish_oldies, spanish_contemporary, mexican_regional_music, regional_mexican_music, son_jalicense, regional_variations_of_mexican_music",Regional styles of Mexican music vary greatly vary from state to state.,contemporáneo_español,YES,
,bn:02466009n,,"regional_styles_of_mexican_music, spanish_oldies, spanish_contemporary, mexican_regional_music, regional_mexican_music, son_jalicense, regional_variations_of_mexican_music",Regional styles of Mexican music vary greatly vary from state to state.,música_regional_mexicana,YES,
,bn:02466009n,,"regional_styles_of_mexican_music, spanish_oldies, spanish_contemporary, mexican_regional_music, regional_mexican_music, son_jalicense, regional_variations_of_mexican_music",Regional styles of Mexican music vary greatly vary from state to state.,son_jalicense,YES,
,bn:02466009n,,"regional_styles_of_mexican_music, spanish_oldies, spanish_contemporary, mexican_regional_music, regional_mexican_music, son_jalicense, regional_variations_of_mexican_music",Regional styles of Mexican music vary greatly vary from state to state.,variaciones_regionales_de_música_mexicana,YES,
,bn:03226006n,,"punk_visual_art, punk_art, punk_rock_art",Punk visual art is artwork associated with the punk subculture.,arte_visual_punk,YES,
,bn:03226006n,,"punk_visual_art, punk_art, punk_rock_art",Punk visual art is artwork associated with the punk subculture.,arte_rock_punk,YES,
,bn:00745238n,,"pueblo_music, hopi_music, zuni_music","Pueblo music includes the music of the Hopi, Zuni, Taos Pueblo, San Ildefonso, Santo Domingo, and many other Puebloan peoples, and according to Bruno Nettl features one of the most complex Native American musical styles on the continent.",música_del_pueblo,YES,
,bn:00745238n,,"pueblo_music, hopi_music, zuni_music","Pueblo music includes the music of the Hopi, Zuni, Taos Pueblo, San Ildefonso, Santo Domingo, and many other Puebloan peoples, and according to Bruno Nettl features one of the most complex Native American musical styles on the continent.",música_hopi,YES,
