lemmata EN;bn:id;wn_synset;Column4;description;confidence
accelerando;bn:00000627n;wn:15264726n;A;a gradually increasing tempo of music;1.0
halo;bn:00000627n;wn:15264726n;A;a gradually increasing tempo of music;1.0
nightfall;bn:00000627n;wn:15264726n;A;a gradually increasing tempo of music;1.0
accelenrando;bn:00000627n;wn:15264726n;A;a gradually increasing tempo of music;1.0
lobsters;bn:00000627n;wn:15264726n;A;a gradually increasing tempo of music;1.0
survivor;bn:00000627n;wn:15264726n;A;a gradually increasing tempo of music;1.0
auditory_hallucination;bn:00000968n;wn:14377830n;I;illusory auditory perception of strange nonverbal sounds;1.0
acousma;bn:00000968n;wn:14377830n;I;illusory auditory perception of strange nonverbal sounds;1.0
paracusia;bn:00000968n;wn:14377830n;I;illusory auditory perception of strange nonverbal sounds;1.0
auditory_hallucinations;bn:00000968n;wn:14377830n;I;illusory auditory perception of strange nonverbal sounds;1.0
audio_hallucination;bn:00000968n;wn:14377830n;I;illusory auditory perception of strange nonverbal sounds;1.0
auditory_verbal_hallucinations;bn:00000968n;wn:14377830n;I;illusory auditory perception of strange nonverbal sounds;1.0
voice_hearing;bn:00000968n;wn:14377830n;I;illusory auditory perception of strange nonverbal sounds;1.0
acoustic_phenomenon;bn:00000980n;wn:11425401n;A;a physical phenomenon associated with the production or transmission of sound;0.9999999403953552
acoustic_delay_line;bn:00000972n;wn:2676097n;A;a delay line based on the time of propagation of sound waves;1.0
sonic_delay_line;bn:00000972n;wn:2676097n;A;a delay line based on the time of propagation of sound waves;1.0
acoustic_device;bn:00000973n;wn:2676261n;A;a device for amplifying or transmitting sound;1.000000238418579
sound_projection;bn:00000982n;wn:11512331n;T;the acoustic phenomenon that gives sound a penetrating quality;1.0000001192092896
acoustic_projection;bn:00000982n;wn:11512331n;T;the acoustic phenomenon that gives sound a penetrating quality;1.0000001192092896
projection;bn:00000982n;wn:11512331n;T;the acoustic phenomenon that gives sound a penetrating quality;1.0000001192092896
sound_pressure_level;bn:00000981n;wn:5100866n;T;the physical intensity of sound;1.0000001192092896
