wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?,note,removed EN
,bn:00000627n,,"accelerando, halo, nightfall, accelenrando, lobsters, survivor",A gradually increasing tempo of music,YES,,
,bn:00000968n,,"auditory_hallucination, acousma, paracusia, auditory_hallucinations, audio_hallucination, auditory_verbal_hallucinations, voice_hearing",Illusory auditory perception of strange nonverbal sounds,YES,,
,bn:00000980n,,acoustic_phenomenon,A physical phenomenon associated with the production or transmission of sound,YES,,
,bn:00000972n,,"acoustic_delay_line, sonic_delay_line",A delay line based on the time of propagation of sound waves,YES,,
,bn:00000973n,,acoustic_device,A device for amplifying or transmitting sound,YES,,
,bn:00000982n,,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,YES,,
,bn:00000981n,,"sound_pressure_level, acoustic_power, acoustic_level",The physical intensity of sound,YES,,
,bn:00000976n,,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,YES,,
,bn:00000987n,,acoustician,A physicist who specializes in acoustics,YES,,
,bn:00000983n,,acoustic_radiation_pressure,(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave,YES,,
,bn:00000977n,,"ear_canal, external_auditory_canal, auditory_canal, acoustic_meatus, external_auditory_meatus, auditory_meatus, external_acoustic_meatus, meatus_acusticus_externus, ear_canals, external_ear_canal, external_acoustic_meatis, external_ear_canals, external_acoustic_canal",Either of the passages in the outer ear from the auricle to the tympanic membrane,YES,,
,bn:00000984n,,"sound_spectrum, acoustic_spectrum",The distribution of energy as a function of frequency for a particular sound source,YES,,
,bn:00000988n,,"phonophobia, acousticophobia, sonophobia, fear_of_sounds, phonophobe, aversion_to_sounds, ligyrophobia, fear_of_noise, hypersensitivity_to_sounds, fear_of_voices, fear_of_loud_sounds, phono_phobia, phonobia",A morbid fear of sounds including your own voice,YES,,
,bn:00000989n,,"acoustics, acoustical_science, acoustic_sensor, acoustical_data, acoustical, history_of_acoustics, acoustic_measurements_and_instrumentation, subdisciplines_of_acoustics, acustica, mechanical_radiation",The study of the physical properties of sound,YES,,
,bn:00000986n,,"sound_wave, acoustic_wave, sound_propagation, sound, pressure_wave",(acoustics) a wave that transmits sound,YES,,
,bn:00001238n,,adagio,A slow section of a pas de deux requiring great skill and strength by the dancers,YES,,
,bn:00002139n,,"hem, ahem","The utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.",YES,,
,bn:00002201n,,air_alert,The warning signal that begins a period of preparation for an enemy air attack,YES,,
,bn:00002234n,,"air_horn, goal_horn, handy_horn, rape_horn, gas_horn, airhorn",A pneumatic horn,YES,,
,bn:00002414n,,"alarm_bell, tocsin",The sound of an alarm (usually a bell),YES,,
,bn:00002798n,,all_clear,A signal (usually a siren) that danger is over,YES,,
,,,,,,,
,bn:00003148n,,alto,(of a musical instrument) the second highest instrument in a family of musical instruments,YES,,
,bn:00003149n,,alto,The pitch range of the lowest female voice,YES,,
,bn:00003327n,,"plagal_cadence, amen_cadence",A cadence (frequently ending church music) in which the chord of the subdominant precedes the chord of the tonic,YES,,
,bn:00004023n,,anechoic_chamber,A chamber having very little reverberation,YES,,
,bn:00004083n,,"angelus_bell, angelus",The sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited,YES,,
,bn:00004715n,,"antiphonary, antiphonal, antiphonaries, antiphoner, vesperale_romanum, antiphonel",Bound collection of antiphons,YES,,
,bn:00004828n,,apache_devil_dance,A ritual dance of the Apache,YES,,
,bn:00004827n,,"apache_dance, apache, la_danse_apache, apache_turn, tough_dance, bowery_waltz",A violent fast dance in French vaudeville (an apache is a member of the French underworld),YES,,
,bn:00005052n,,"applauder, clapper, whip, slapstick",Someone who applauds,YES,,
,bn:00005256n,,"arabesque, arabesque_penché, arabesque_penchée",Position in which the dancer has one leg raised behind and arms outstretched in a conventional pose,YES,,
,bn:00006186n,,artiste,A public performer (a dancer or singer),YES,,
,bn:00006998n,,"attack, tone-beginning",A decisive manner of beginning a musical tone or phrase,YES,,
,bn:00007019n,,"hearer, listener, auditor, attender",Someone who listens attentively,YES,,
,bn:00007094n,,"audibility, audibleness",Quality or fact or degree of being audible or perceptible by the ear,YES,,
,bn:00007104n,,audio,The sound elements of television,YES,,
,bn:00007109n,,audiocassette,A cassette for audiotape,YES,,
,bn:00007105n,,"audio_amplifier, amplifier",An amplifier that increases the amplitude of reproduced sound,YES,,
,bn:00007102n,,"audio_frequency, audio, audible_frequency, sound_frequency, audio-frequency, af, audio_frequencies",An audible acoustic wave frequency,YES,,
,bn:00007106n,,"audio_cd, audio_compact_disc",Compact discs used to reproduce sound (voice and music),YES,,
,bn:00007126n,,auditory_apparatus,All of the components of the organ of hearing including the outer and middle and inner ears,YES,,
,bn:00007128n,,auditory_center,The part of the brain (in a fold of the cerebral cortex of the temporal lobe on both sides of the brain) that receives impulses from the ear by way of the auditory nerve,YES,,
,bn:00007132n,,auditory_ossicle,Ossicles of the middle ear that transmit acoustic vibrations from the eardrum to the inner ear,YES,,
,bn:00007127n,,"auditory_cortex, primary_auditory_cortex, auditory_area, a1, secondary_auditory_cortex, posterior_transverse_temporal_area_42, anterior_transverse_temporal_area_41, auditory_processing",The cortical area that receives auditory information from the medial geniculate body,YES,,
,bn:00007130n,,"hyperacusis, hyperacusia, auditory_hyperesthesia, hyperacousis",Abnormal acuteness of hearing due to increased irritability of the sensory neural mechanism; characterized by intolerance for ordinary sound levels,YES,,
,bn:00007124n,,"auditorium, auditoriums, auditoria, auditorium_site, imperial_box, screens, continental_seating",The area of a theater or concert hall where the audience sits,YES,,
,bn:00007120n,,"hearing, auditory_sense, sense_of_hearing, audition, auditory_modality, human_hearing, auditive_perception, hear, hearing_protection, art_of_listenning, aural, auditory_perception, audioception, ear_protection_device, ear_protective_devices, ear_protective_device, underwater_hearing",The ability to hear; the auditory faculty,YES,,
,bn:00007377n,,"hooter, automobile_horn, horn, car_horn, motor_horn",A device on an automobile for making a warning noise,YES,,
,bn:00007596n,,"bel, b",A logarithmic unit of sound intensity equal to 10 decibels,YES,,
,bn:00007601n,,"licorice_stick, b-flat_clarinet",The ordinary clarinet with a middle range,YES,,
,bn:00007613n,,baa,The cry made by sheep,YES,,
,bn:00007635n,,babel,A confusion of voices and other sounds,YES,,
,bn:00007665n,,"parlor_grand_piano, parlor_grand, baby_grand_piano, parlour_grand, parlour_grand_piano, baby_grand",A small grand piano,YES,,
,bn:00007775n,,backfire,A loud noise made by the explosion of fuel in the manifold or exhaust of an internal combustion engine,YES,,
,bn:00007789n,,"background_noise, ground_noise, ambient_noise",Extraneous noise contaminating sound measurements that cannot be separated from the desired signal,YES,,
,bn:00007788n,,"background_level, noise_level",The amplitude level of the undesired background noise,YES,,
,bn:00008123n,,ball,The people assembled at a lavish formal dance,YES,,
,bn:00008128n,,"ball, formal, ball_dance, balls, charity_ball, society_ball",A lavish dance requiring formal attire,YES,,
,bn:00008170n,,ballet_mistress,A woman who directs and teaches and rehearses dancers for a ballet company,YES,,
,bn:00008164n,,"ballerina, danseuse",A female ballet dancer,YES,,
,bn:00008171n,,ballet_position,Classical position of the body and especially the feet in ballet,YES,,
,bn:00008169n,,"ballet_master, premier_maître_de_ballet, premier_maitre_de_ballet, balletmaster, maitre_de_ballet, maître_de_ballet, premier_maitre_de_ballet_en_chef, maître_de_ballet_en_chef, maitre_de_ballet_en_chef, balletmasters, premier_maître_de_ballet_en_chef, ballet_mistresses, paul_talgioni, maría_de_ávila, ballet_masters, paul_taglioni, maria_de_avila",A man who directs and teaches and rehearses dancers for a ballet company,YES,,
,bn:00008173n,,balletomane,A ballet enthusiast,YES,,
,,,,,,,
,bn:00008167n,,"ballet_company, ballet_companies_in_france, ballet_companies_in_canada, ballet_companies_in_denmark, ballet_companies_in_korea, ballet_companies_in_sweden, ballet_companies_in_china, ballet_companies_in_italy, ballet_companies_in_switzerland, ballet_companies_in_the_philippines, ballet_companies_in_australia, ballet_companies_in_the_united_kingdom, ballet_companies",A company that produces ballets,YES,,
,bn:00008168n,,"ballet_dancer, ballerina, ballet_dancers, prima_ballerinas, premier_sujet, primae_ballerinae, ballarina_dancer, coryphee, ballerinos, coryphée, ballerino, primera_bailarina, premiere_danseuse, absoluta, premier_danseur_noble, danseurs, assolutas, ballarina_dancers, sujet, ballerinas",A trained dancer who is a member of a ballet company,YES,,
,bn:00008165n,,"ballet, concert_dance, theatre_dance, performance_dance, dance_theatre, dance_theater, scenic_dance, ballets, 1939_ballet_premieres, 20th_century_concert_dance, ballett, performance_dances, show_dance, 2011_ballet_premieres, 1914_ballet_premieres, 1940_ballet_premieres, stage_dance, ballet_competitions, ballet_dance, showdance, un/locode:inblt, classical_dance, ballet_schools, ballet_characters, balletomanes, ballet_dancing, dance_performance, 1915_ballet_premieres, ballet_teachers, concert_dancer, balet, 1916_ballet_premieres, balletto, 1938_ballet_premieres, balletti",A theatrical representation of a story that is performed to music by trained dancers,YES,,
,bn:00008324n,,bandwagon,A large ornate wagon for carrying a musical band,YES,,
,bn:00008321n,,"bandstand, stand, outdoor_stage, band_stand, bandshell, music_kiosk, bandstands, band_rotunda",A platform where a (brass) band can play in the open air,YES,,
,bn:00008361n,,"banjo, tenor_banjo, 4-string_banjo, benjo, 5-string_banjo, open_back_banjo, banjo_string, four-string_banjo, 🪕, banjer, electric_banjo, classic_banjo, five-string_banjo, banjos, fingerpicking_banjo, stealth_banjo",A stringed instrument of the guitar family that has long neck and circular body,YES,,
,bn:00008597n,,"bark, dog_barking, woof, yelp, wuff, dog_bark",The sound made by a dog,YES,,
,bn:00008615n,,"barn_dance, barndance",A dance party featuring country dancing,YES,,
,bn:00008917n,,"bass, bass_instrument",The member with the lowest range of a family of musical instruments,YES,,
,bn:00008941n,,"basso_profundo, basso_profondo, oktavist, low_bass, russian_bass, deep_bass, octavist",A very deep bass voice,YES,,
,bn:00008942n,,"bassoon, buffet_system, fagotte, french_bassoon, fagotti, fagotto, bassoons, baßoon, fagott, pancake_key, fagot, basoonist, basoon, heckel_system",A double-reed instrument; the tenor of the oboe family,YES,,
,bn:00008924n,,"tuba, sousaphone, bass_horn, bass_tuba, serpent, bombardone, contrabass_tuba, sousaphonist, brass_bass, jazz_tuba, susaphone, sousaphon",The lowest brass wind instrument,YES,,
,bn:00009213n,,bay,The sound of a hound on the scent,YES,,
,bn:00009210n,,"bawling, wailing",Loud cries made while weeping,YES,,
,bn:00009208n,,"shouter, bellower, yeller, bawler, roarer, screamer, screecher",Someone who communicates vocally in a very loud voice,YES,,
,bn:00009399n,,beat,The sound of stroke or blow,YES,,
,bn:00009397n,,"beat, beat_frequency, battimenti, interference_beating, acoustical_beat, beating, idosing, beating_frequency, beat_wave, binaural_beat, batimientos, acoustic_beat, interference_beat, binaural_frequency, binaural_tones, binaural_frequencies, beat_note",A single pulsation of an oscillation produced by adding two waves of different frequencies; has a frequency equal to the difference between the two oscillations,YES,,
,bn:00009412n,,"reed_instrument, reed, beating-reed_instrument",A musical instrument that sounds by means of a vibrating reed,YES,,
,bn:00009418n,,"beats_per_minute, metronome_marking, bpm, m.m.",The pace of music measured by the number of beats occurring in 60 seconds,YES,,
,bn:00009587n,,"beep, bleep, breep, bleep_sound, beep_sound, *beep*",A short high tone produced as a signal or warning,YES,,
,bn:00009650n,,beguine,A ballroom dance that originated in the French West Indies; similar to the rumba,YES,,
,bn:00009729n,,"bell, toll",The sound of a bell being struck,YES,,
,bn:00009727n,,bell,A hollow device made of metal that makes a ringing sound when struck,YES,,
,bn:00009733n,,"bell, chime, gong",A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument,YES,,
,bn:00009728n,,"doorbell, buzzer, bell, door_bell, doorbells, door_chime, intelligent_door_bell",A push button at an outer door that gives a ringing or buzzing signal when pushed,YES,,
,bn:00009760n,,bell_ringing,The sound of someone playing a set of bells,YES,,
,bn:00009762n,,"bell_ringing, carillon, carillon_playing, campanology",Playing a set of bells that are (usually) hung in a tower,YES,,
,bn:00009757n,,"bell_ringer, toller, ringer, bell-ringer",A person who rings church bells (as for summoning the congregation),YES,,
,bn:00009781n,,"charivari, shivaree, chivaree, callithump, belling, callathump, shivery, skimmington_ride, chiarivari, riding_the_stang, chiverie, skimmington, skimmity_ride",A noisy mock serenade (made by banging pans and kettles) to a newly married couple,YES,,
,bn:00009787n,,"roar, yowl, bellow, roaring, bellowing, holler, hollo, holla, hollering, holloa, rawr",A very loud utterance (like the sound of an animal),YES,,
,bn:00009802n,,"belly_dancer, exotic_dancer, exotic_belly_dancer",A woman who performs a solo belly dance,YES,,
,bn:00009801n,,"belly_dance, belly_dancing, danse_du_ventre, belly_dancers, raks_sharki, hootchy-kootchy, belly_dance_in_the_west, hootchy_kootchy_dance, raks_sharqi, raqs_shaki, raqs_sharki, bellydancer, belly-dance, raqs_al_sharqi, muscle_dance, belly-dancer, muscle_dancer, abdominal_dance, egyptian_belly_dance, hootchie_kootchie_dance, raks_al_sharqi, belly-dancing, bellydancing, muscle_dancing, houchee_kouchee, bellydance_in_the_west, bellydance, arabic_dance",A Middle Eastern dance in which the dancer makes sensuous movements of the hips and abdomen,YES,,
,bn:00010608n,,"hiss, raspberry, boo, bird, razz, hoot, bronx_cheer, snort, razzing",A cry or noise made to express displeasure or contempt,YES,,
,bn:00010650n,,birdcall,A device for imitating a birdcall,YES,,
,bn:00010662n,,"whirr, whirring, birr, whir",Sound of something in rapid motion,YES,,
,bn:00010649n,,"call, song, birdsong, birdcall, bird_song",The characteristic sound produced by a bird,YES,,
,bn:00011186n,,bleat,The sound of sheep or goats (or any sound resembling this),YES,,
,bn:00011535n,,blue_murder,An extravagantly loud outcry,YES,,
,bn:00011620n,,bluster,Noisy confusion and turbulence,YES,,
,bn:00011856n,,bolero,A Spanish dance in triple time accompanied by guitar and castanets,YES,,
,bn:00011930n,,"helicon, bombardon, hélicon",A tuba that coils over the shoulder of the musician,YES,,
,bn:00011943n,,"buzz, bombilation, bombination",Sound of rapid vibration,YES,,
,bn:00012024n,,bong,A dull resonant sound as of a bell,YES,,
,bn:00012025n,,"bongo, bongo_drum",A small drum; played with the hands,YES,,
,bn:00012124n,,"booking_agent, booker",Someone who engages a person or company for performances,YES,,
,bn:00012148n,,"boom, microphone_boom",A pole carrying an overhead microphone projected over a film or tv set,YES,,
,bn:00012146n,,"thunder, roaring, roar, boom, thunderclap, clap_of_thunder, peal_of_thunder",A deep prolonged loud noise,YES,,
,bn:00012466n,,"bow, bow_technique, french_bow, abstrich, aufstrich, bowing_technique, german_bow, talon",A slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments,YES,,
