wn_synset,bn:id,pos,lemmata EN,definition,lemmata FR,is it related to music?
,bn:00000132n,,"78_rpm, 78_rpm_disc, 78_rpm_record, seventy-eight, 78",A shellac based phonograph record that played at 78 revolutions per minute,"disque_78_tours, 78, soixante-dix-huit",YES
,bn:00000627n,,"accelerando, halo, nightfall, accelenrando, lobsters, survivor",A gradually increasing tempo of music,accelerando,YES
,bn:00000968n,,"nonverbal_hallucination, non-verbal_hallucination, voice_hearing, auditory_verbal_hallucinations, auditory_hallucination, auditory_hallucinations, audio_hallucination, paracusia, acousma",Illusory auditory perception of strange nonverbal sounds,"hallucination_auditive_non_verbale, acousma,  hallucinations_auditives, hallucination_auditive, hallucination_sonore, paracousie",YES
,bn:00000972n,,"acoustic_delay_line, sonic_delay_line",A delay line based on the time of propagation of sound waves,"ligne_à_retard_acoustique, ligne_de_délai",YES
,bn:00000973n,,acoustic_device,A device for amplifying or transmitting sound,dispositif_acoustique,YES
,bn:00000976n,,"acoustic_impedance, specific_acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, characteristic_acoustic_impedance, acoustical_impedance, sound_impedance, volume_velocity",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,"impédance_acoustique, impédance_acoustique_spécifique, impédance_acoustique_caractéristique, impedance_acoustique, impédance_acoustique_caractéristique_d'un_milieu, réactance_acoustique, résistance_acoustique",YES
,bn:00000980n,,acoustic_phenomenon,A physical phenomenon associated with the production or transmission of sound,phénomène_acoustique,YES
,bn:00000981n,,"sound_intensity, acoustic_intensity, sound_pressure_level, acoustic_power, acoustic_level, sound_intensity_level, SIL, acoustic_intensity_level",The physical intensity of sound,"intensité_acoustique, intensité_sonore, niveau_acoustique, puissance_acoustique, niveau_de_pression_acoustique",YES
,bn:00000982n,,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,"projection_acoustique, projection, projection_sonore, prévision, saillie",YES
,bn:00000983n,,acoustic_radiation_pressure,(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave,pression_de_radiation_acoustique,YES
,bn:00000984n,,"sound_spectrum, acoustic_spectrum",The distribution of energy as a function of frequency for a particular sound source,"spectre_acoustique, spectre_sonore, série_harmonique",YES
,bn:00000986n,,"sound_wave, acoustic_wave, sound, sound_propagation, pressure_wave",(acoustics) a wave that transmits sound,"onde_sonore, onde_acoustique, son, sons, ondes_sonores, propagation_du_son, onde_de_pression",YES
,bn:00000987n,,acoustician,A physicist who specializes in acoustics,acousticien,YES
,bn:00000988n,,"phonophobia, acousticophobia, sonophobia, ligyrophobia, fear_of_sounds, phonophobe, aversion_to_sounds, fear_of_noise, hypersensitivity_to_sounds, fear_of_voices, fear_of_loud_sounds, phono_phobia, phonobia",A morbid fear of sounds including your own voice,"phonophobie, audiophobie, acousticophobie, acousticophobie",YES
,bn:00000989n,,"acoustics, acoustical_science, acoustic_sensor, acoustical_data, acoustical, history_of_acoustics, acoustic_measurements_and_instrumentation, subdisciplines_of_acoustics, acustica, mechanical_radiation",The study of the physical properties of sound,"acoustique, acousticien, son_acoustique, données_acoustiques, sciencce_du_son",YES
,bn:00001238n,,adagio,A slow section of a pas de deux requiring great skill and strength by the dancers,adagio,YES
,bn:00002139n,,"hem, ahem","The utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc.","hum, hum!, hem, ahem",YES
,bn:00002201n,,air_alert,The warning signal that begins a period of preparation for an enemy air attack,alerte_aérienne,YES
,bn:00002234n,,"air_horn, goal_horn, handy_horn, rape_horn, gas_horn, airhorn",A pneumatic horn,"corne_de_brume_à_gaz, avertisseur_pneumatique, avertisseur_sonore, corne_de_brume, airhorn, corne_d'appel, klaxon",YES
,bn:00002414n,,"alarm_bell, tocsin",The sound of an alarm (usually a bell),"sonnerie_d'alarme, tocsin, sonnette_d'alarme, cloche_d'alarme",YES
,bn:00002798n,,all_clear,A signal (usually a siren) that danger is over,"fin_d'alerte, signal_de_fin_d'alerte",YES
,bn:00002829n,,allegro_con_spirito,Lively with spirit,allegro_con_spirito,YES
,bn:00003148n,,alto,(of a musical instrument) the second highest instrument in a family of musical instruments,alto,YES
,bn:00003149n,,alto,The pitch range of the lowest female voice,alto,YES
,bn:00003327n,,"plagal_cadence, amen_cadence",A cadence (frequently ending church music) in which the chord of the subdominant precedes the chord of the tonic,"cadence_plagale, cadence_Amen, amen_cadence",YES
,bn:00004023n,,anechoic_chamber,A chamber having very little reverberation,"chambre_anéchoïque, chambre_sourde",YES
,bn:00004083n,,"angelus_bell, angelus",The sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited,"angélus, angelus_cloche",YES
,bn:00004715n,,"antiphonary, antiphonal, antiphony, antiphoner, vesperale_romanum, antiphonel, antiphonaries",Bound collection of antiphons,"antiphonaire, antiphonier, antiphonal",YES
