wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?
,bn:03772317n,,yass,"Yass is a Polish music style of avant-garde jazz which originated in the late 1980s, that mixes jazz, improvised music, punk rock, and folk.",yass,YES
,bn:03452975n,,"western_swing, country/western_swing, country_swing, texas_swing",Western swing music is a subgenre of American country music that originated in the late 1920s in the West and South among the region's Western string bands.,"western_swing, country_swing",YES
,bn:03278100n,,"viking_rock, vikingarock, viking_punk","Viking rock is a rock music genre that takes much of its themes from 19th-century Viking romanticism, mixing it with elements of rockabilly, Oi!",viking_rock,YES
,bn:03270252n,,verdiales,"Verdiales are a Flamenco music style, and song form belonging to cante chico.","verdiales, verdial",YES
,bn:03303947n,,türkü,Name given to Turkish folk songs as opposed to şarkı,"türkü, musica_tradizionale_turca, turku",YES
,bn:03644395n,,"swedish_ballad_tradition, scandinavian_ballad_tradition",The Scandinavian ballad tradition is the tradition of Scandinavian poetic singer-songwriters.,"tradizione_delle_ballate_scandinave, tradizione_delle_ballate_svedesi",YES
,bn:03710265n,,brazilian_thrash_metal,"Along with Bay Area thrash metal and Teutonic thrash metal, Brazilian thrash metal was one of the major scenes in the 1980s.",thrash_metal_brasiliano,YES
,bn:03887014n,,"texas_blues, acoustic_texas_blues",Texas blues is blues music from Texas.,"texas_blues, blues_del_texas, blues_acustico_del_texas",YES
,bn:03781266n,,toeshey,Toeshey is a genre of traditional Tibetan dance music closely related to Nangma.,teoshey,YES
,bn:03348542n,,"teen_pop, teenpop, teen-pop, millennial_pop, disney_pop, teenybopper_pop, teen_rock, teen_culture, teen_genre, teen_music, teen_pop_music","Teen pop is a subgenre of pop music that is created, marketed and oriented towards preteens and teenagers.","teen_pop, teen-pop, teen_rock, musica_teen_pop",YES
,bn:03367969n,,"tech_trance, tek-trance, techno/trance, techno-trance, tech-trance","Tech trance, also known as techno-trance or techno/trance, is a subgenre within electronic music that draws upon the techno and trance genres as the name suggests.",tech_trance,YES
,bn:03568243n,,,Optional.empty,suggeritore,YES
,bn:03304896n,,"sturm_und_drang, sturm-und-drang, sturm_and_drang, storm_and_stress, storm-and-stress_period, storm_and_urge, sturm_and_drang_society",Sturm und Drang was a proto-Romantic movement in German literature and music that occurred between the late 1760s and early 1780s.,sturm_und_drang,YES
,bn:03604810n,,"thrash_metal, melodic_thrash_metal, big_four_of_thrash, melodic_thrash, thrash, progressive_thrash_metal, trash_metal, tower_metal, east_coast_thrash_metal, hardcore_speed_metal, t-h-rash_metal, the_big_four_of_thrash, trash_metal_scene_in_u.k._in_the_90's, sewer_band, thrash_music, heavy_thrash, british_thrash_metal, thrash_metal_music, nwotm, thrash_rock, new_wave_of_thrash_metal, trash_metal_music",Thrash metal is an extreme subgenre of heavy metal music characterized by its overall aggression and often fast tempo.,"speed_thrash_metal, thrash_metal, thrash_death_metal, speed-thrash_metal, thrash, blackened_thrash_metal, thrash_black_metal, technical_thrash_metal, thrash/death, progressive_thrash_metal, thrash/death_metal",YES
,bn:03475418n,,"space_age_pop, space_age_music, futuristic_lounge_music, space_pop, space-age_pop",Space age pop is a subgenre of pop and easy listening music associated with Mexican and American composers and songwriters in the space age of the 1950s and 1960s.,"space_age_pop, musica_space_age, space_pop",YES
