wn_synset,bn:id,pos,lemmata EN,definition,lemmata DE,is it related to music
,bn:08425718n,n,,"1. Festival des politischen Liedes es un álbum en directo interpretada por artistas de diversas nacionalidades, grabado en febrero de 1970 en el contexto de la primera versión del Festival de la canción política organizado por la Juventud Libre Alemana en el este de Berlín, en la época de la República Democrática Alemana.",1._festival_des_politischen_liedes,CHECK
,bn:08603171n,n,,երաժշտական ալբոմ,14_akustiske_sanger,CHECK
,bn:01776663n,n,360_deal,"In the music industry, a 360 deal is a business relationship between an artist and a music industry company.","360-grad-modell, 360-grad-deal, 360_deal",CHECK
,bn:12856368n,n,,Optional.empty,a_mon_ostal_de_la_colina,CHECK
,bn:03651019n,n,"aak, a-ak, ah-ak",Aak Korean pronunciation: is a genre of Korean court music.,aak,CHECK
,bn:00004023n,n,anechoic_chamber,A chamber having very little reverberation,absorberhalle,CHECK
,bn:10459075n,n,,Achter de wolken schijnt altijd de zon is een Nederlandstalige single van de Belgische zanger Willy Sommers uit 2013.,achter_de_wolken_schijnt_altijd_de_zon,CHECK
,bn:01640564n,n,"acid_house, acid, acidhouse, belgian_techno, warehouse_party, acid_house_parties, acid-house, acid_house_music",Acid house is a subgenre of house music developed around the mid-1980s by DJs from Chicago.,"acid_house, acid-house, acidhouse",CHECK
,bn:01996789n,n,"acid_jazz, groove_jazz, acid-jazz, psychedelic_jazz","Acid jazz, also known as club jazz, is a music genre that combines elements of jazz, soul, funk, and disco.","acid_jazz, acid-jazz",CHECK
,bn:00967206n,n,acid_trance,Acid trance is a genre of trance music that emerged in the late 1980s and early 1990s focusing on using the acid sound.,acid_trance,CHECK
,bn:01317335n,n,"african_hip_hop, congolese_hip_hop, african_rap, ghanaian_hip_hop, hip_hop_in_africa, south_african_hip_hop, african_rap/ghana, ugandan_hip_hop, botswana_hip_hop, malagasy_hip_hop, supa_laj, rwandan_hip_hop, nigerian_hip_hop, guinean_hip_hop, malian_hip_hop, rap_gasy, botswanan_hip_hop, african_rap_in_ghana, angolan_hip_hop, namibian_hip_hop",Hip hop music has been popular in Africa since the early 1980s due to widespread African American influence.,"afrikanischer_hip-hop, hip-hop_in_afrika",CHECK
,bn:02523277n,n,"afrobeat, afro_beat, afro-beat, african_funk, afrobeat_music, afro-funk, afrofunk","Afrobeat is a music genre which involves the combination of elements of West African musical styles such as fuji music and highlife with American jazz and later soul and funk influences, with a focus on chanted vocals, complex intersecting rhythms, and percussion.","afrobeat, afro_beat, afrofunk, afro-beat",CHECK
,bn:00893909n,n,"afro-caribbean_music, african-caribbean_music, afro-carribean_music",Afro-Caribbean music is a broad term for music styles originating in the Caribbean from the African diaspora.,afro-karibische_musik,CHECK
,bn:01870578n,n,"afro-rock, afro_rock",Afro rock is a style of rock music.,"afro-rock, afro-rock-band",CHECK
,bn:01190779n,n,"acousmatic_music, acousmatic_art","Acousmatic music is a form of electroacoustic music that is specifically composed for presentation using speakers, as opposed to a live performance.","akusmatik, akusmatischen_musik",CHECK
