wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?
,bn:00000627n,n,"accelerando, halo, nightfall, accelenrando, lobsters, survivor",A gradually increasing tempo of music,YES
,bn:00000968n,n,"auditory_hallucination, acousma, paracusia, auditory_hallucinations, audio_hallucination, auditory_verbal_hallucinations, voice_hearing",Illusory auditory perception of strange nonverbal sounds,CHECK
,bn:00000980n,n,acoustic_phenomenon,A physical phenomenon associated with the production or transmission of sound,YES
,bn:00000972n,n,"acoustic_delay_line, sonic_delay_line",A delay line based on the time of propagation of sound waves,CHECK
,bn:00000973n,n,acoustic_device,A device for amplifying or transmitting sound,YES
,bn:00000982n,n,"sound_projection, acoustic_projection, projection",The acoustic phenomenon that gives sound a penetrating quality,YES
,bn:00000981n,n,"sound_pressure_level, acoustic_power, acoustic_level",The physical intensity of sound,YES
,bn:00000976n,n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,CHECK
,bn:00000987n,n,acoustician,A physicist who specializes in acoustics,YES
,bn:00000983n,n,acoustic_radiation_pressure,(acoustics) the pressure exerted on a surface normal to the direction of propagation of a sound wave,CHECK
,bn:00000977n,n,"ear_canal, external_auditory_canal, auditory_canal, acoustic_meatus, external_auditory_meatus, auditory_meatus, external_acoustic_meatus, meatus_acusticus_externus, ear_canals, external_ear_canal, external_acoustic_meatis, external_ear_canals, external_acoustic_canal",Either of the passages in the outer ear from the auricle to the tympanic membrane,CHECK
,bn:00000984n,n,"sound_spectrum, acoustic_spectrum",The distribution of energy as a function of frequency for a particular sound source,CHECK
,bn:00000988n,n,"phonophobia, acousticophobia, sonophobia, fear_of_sounds, phonophobe, aversion_to_sounds, ligyrophobia, fear_of_noise, hypersensitivity_to_sounds, fear_of_voices, fear_of_loud_sounds, phono_phobia, phonobia",A morbid fear of sounds including your own voice,CHECK
