wn_synset,bn:id,lemmata EN,definition,lemmata DE,is it related to music?
,bn:03651019n,"aak, a-ak, ah-ak",Aak Korean pronunciation: is a genre of Korean court music.,aak,YES
,bn:01640564n,"acid_house, acid, acidhouse, belgian_techno, warehouse_party, acid_house_parties, acid-house, acid_house_music",Acid house is a subgenre of house music developed around the mid-1980s by DJs from Chicago.,acid_house,YES
,bn:01640564n,"acid_house, acid, acidhouse, belgian_techno, warehouse_party, acid_house_parties, acid-house, acid_house_music",Acid house is a subgenre of house music developed around the mid-1980s by DJs from Chicago.,acid-house,YES
,bn:01640564n,"acid_house, acid, acidhouse, belgian_techno, warehouse_party, acid_house_parties, acid-house, acid_house_music",Acid house is a subgenre of house music developed around the mid-1980s by DJs from Chicago.,acidhouse,YES
,bn:01996789n,"acid_jazz, groove_jazz, acid-jazz, psychedelic_jazz","Acid jazz, also known as club jazz, is a music genre that combines elements of jazz, soul, funk, and disco.",acid_jazz,YES
,bn:01996789n,"acid_jazz, groove_jazz, acid-jazz, psychedelic_jazz","Acid jazz, also known as club jazz, is a music genre that combines elements of jazz, soul, funk, and disco.",acid-jazz,YES
,bn:00967206n,acid_trance,Acid trance is a genre of trance music that emerged in the late 1980s and early 1990s focusing on using the acid sound.,acid_trance,YES
,bn:01317335n,"african_hip_hop, congolese_hip_hop, african_rap, ghanaian_hip_hop, hip_hop_in_africa, south_african_hip_hop, african_rap/ghana, ugandan_hip_hop, botswana_hip_hop, malagasy_hip_hop, supa_laj, rwandan_hip_hop, nigerian_hip_hop, guinean_hip_hop, malian_hip_hop, rap_gasy, botswanan_hip_hop, african_rap_in_ghana, angolan_hip_hop, namibian_hip_hop",Hip hop music has been popular in Africa since the early 1980s due to widespread African American influence.,afrikanischer_hip-hop,YES
,bn:01317335n,"african_hip_hop, congolese_hip_hop, african_rap, ghanaian_hip_hop, hip_hop_in_africa, south_african_hip_hop, african_rap/ghana, ugandan_hip_hop, botswana_hip_hop, malagasy_hip_hop, supa_laj, rwandan_hip_hop, nigerian_hip_hop, guinean_hip_hop, malian_hip_hop, rap_gasy, botswanan_hip_hop, african_rap_in_ghana, angolan_hip_hop, namibian_hip_hop",Hip hop music has been popular in Africa since the early 1980s due to widespread African American influence.,hip-hop_in_afrika,YES
,bn:02523277n,"afrobeat, afro_beat, afro-beat, african_funk, afrobeat_music, afro-funk, afrofunk","Afrobeat is a music genre which involves the combination of elements of West African musical styles such as fuji music and highlife with American jazz and later soul and funk influences, with a focus on chanted vocals, complex intersecting rhythms, and percussion.",afrobeat,YES
,bn:02523277n,"afrobeat, afro_beat, afro-beat, african_funk, afrobeat_music, afro-funk, afrofunk","Afrobeat is a music genre which involves the combination of elements of West African musical styles such as fuji music and highlife with American jazz and later soul and funk influences, with a focus on chanted vocals, complex intersecting rhythms, and percussion.",afro_beat,YES
,bn:02523277n,"afrobeat, afro_beat, afro-beat, african_funk, afrobeat_music, afro-funk, afrofunk","Afrobeat is a music genre which involves the combination of elements of West African musical styles such as fuji music and highlife with American jazz and later soul and funk influences, with a focus on chanted vocals, complex intersecting rhythms, and percussion.",afrofunk,YES
,bn:02523277n,"afrobeat, afro_beat, afro-beat, african_funk, afrobeat_music, afro-funk, afrofunk","Afrobeat is a music genre which involves the combination of elements of West African musical styles such as fuji music and highlife with American jazz and later soul and funk influences, with a focus on chanted vocals, complex intersecting rhythms, and percussion.",afro-beat,YES
,bn:00893909n,"afro-caribbean_music, african-caribbean_music, afro-carribean_music",Afro-Caribbean music is a broad term for music styles originating in the Caribbean from the African diaspora.,afro-karibische_musik,YES
,bn:01870578n,"afro-rock, afro_rock",Afro rock is a style of rock music.,afro-rock,YES
,bn:01870578n,"afro-rock, afro_rock",Afro rock is a style of rock music.,afro-rock-band,YES
,bn:01190779n,"acousmatic_music, acousmatic_art","Acousmatic music is a form of electroacoustic music that is specifically composed for presentation using speakers, as opposed to a live performance.",akusmatik,YES
,bn:01190779n,"acousmatic_music, acousmatic_art","Acousmatic music is a form of electroacoustic music that is specifically composed for presentation using speakers, as opposed to a live performance.",akusmatischen_musik,YES
,bn:00000968n,"auditory_hallucination, acousma, paracusia, auditory_hallucinations, audio_hallucination, auditory_verbal_hallucinations, voice_hearing",Illusory auditory perception of strange nonverbal sounds,akustische_halluzination,YES
,bn:00000968n,"auditory_hallucination, acousma, paracusia, auditory_hallucinations, audio_hallucination, auditory_verbal_hallucinations, voice_hearing",Illusory auditory perception of strange nonverbal sounds,acousma,YES
,bn:00000968n,"auditory_hallucination, acousma, paracusia, auditory_hallucinations, audio_hallucination, auditory_verbal_hallucinations, voice_hearing",Illusory auditory perception of strange nonverbal sounds,akustische_halluzinationen,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,akustische_impedanz,YES
,bn:00000976n,"acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_acoustic_impedance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, acoustical_impedance, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, sound_impedance, volume_velocity, specific_acoustic_impedance",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,schallkennimpedanz,YES
