wn_synset,bn:id,pos,lemmata EN,definition,lemmata NL,is it related to music?,note,removed EN,removed NL
,bn:00799530n,,sustain,Sustain označuje dobu trvání ustáleného zvuku hudebního nástroje.,sustain,YES,la definizione non è tradotta,,
,bn:14720872n,,serbian_traditional_music,Негде дубоко у вековима на извору српског народа потекла је и песма.,,YES,definizione non tradotta,,
,bn:03112997n,,"italian_classical_music, art_music_of_italy, classical_music_in_italy",Optional.empty,,YES,Casella vuota,,
,bn:00044776n,,horn,A noise made by the driver of an automobile to give warning;,,YES,,,
,bn:03874865n,,"early_norwegian_black_metal_scene, black_metal_inner_circle, early_norwegian_black_metal, murder_of_euronymous, neseblod_records, helvete",The early Norwegian black metal scene of the 1990s is credited with creating the modern black metal genre and produced some of the most acclaimed and influential artists in extreme metal.,black_metal_inner_circle,YES,,,
,bn:03874865n,,"early_norwegian_black_metal_scene, black_metal_inner_circle, early_norwegian_black_metal, murder_of_euronymous, neseblod_records, helvete",The early Norwegian black metal scene of the 1990s is credited with creating the modern black metal genre and produced some of the most acclaimed and influential artists in extreme metal.,noorse_black_metal,YES,,,
,bn:03874865n,,"early_norwegian_black_metal_scene, black_metal_inner_circle, early_norwegian_black_metal, murder_of_euronymous, neseblod_records, helvete",The early Norwegian black metal scene of the 1990s is credited with creating the modern black metal genre and produced some of the most acclaimed and influential artists in extreme metal.,vroege_noorse_black_metal_scene,YES,,,
,bn:02145888n,,disco_mix,"En discomiks er innspilling av en sang på en måte som er beregnet på å oppildne lyttere og dansere ved å ta i bruk itererte gjentakelser av sangens vers, overganger og refrenger med breaks og orkestrelle opptrappinger.",,YES,definizione non tradotta,,
,bn:00485785n,,d_tuning,Optional.empty,d-stemming,YES,manca la definizione,,
,bn:00012904n,,"break, voice_crack",An abrupt change in the tone or register of the voice (as at puberty or due to emotion),,YES,stem_kraken,,
,bn:03263545n,,"black_metal, black_'n'_roll, melodic_black_metal, pakistani_metal, black_metal_music, atmospheric_black_metal, black_ambient, kvlt, norscore, experimental_black_metal, folk/black_metal, folk_black_metal, war_metal, norsecore, avant-garde_black_metal, blackened_thrash_metal, neckbeard_deathcamp, satanic_metal, red_and_anarchist_black_metal, black_metal_band, mass_murder_metal, blackened_hardcore, second_wave_black_metal, melodic_black/death, melodic_blackened_death_metal, blackened_thrash, black-doom_metal, blackened_melodic_death_metal, ambient_black_metal, mortuary_drape, psychedelic_black_metal, suicidal_black_metal, blackened_grindcore, depressive_suicidal_black_metal, first_wave_black_metal, depressive_black_metal, blackmetal, dsbm, the_101_rules_of_black_metal, black-thrash, american_black_metal, australian_war_metal, hellish_metal, second-wave_black_metal, black_and_roll",Black metal is an extreme subgenre of heavy metal music.,black_metal,YES,,,
,bn:03263545n,,"black_metal, black_'n'_roll, melodic_black_metal, pakistani_metal, black_metal_music, atmospheric_black_metal, black_ambient, kvlt, norscore, experimental_black_metal, folk/black_metal, folk_black_metal, war_metal, norsecore, avant-garde_black_metal, blackened_thrash_metal, neckbeard_deathcamp, satanic_metal, red_and_anarchist_black_metal, black_metal_band, mass_murder_metal, blackened_hardcore, second_wave_black_metal, melodic_black/death, melodic_blackened_death_metal, blackened_thrash, black-doom_metal, blackened_melodic_death_metal, ambient_black_metal, mortuary_drape, psychedelic_black_metal, suicidal_black_metal, blackened_grindcore, depressive_suicidal_black_metal, first_wave_black_metal, depressive_black_metal, blackmetal, dsbm, the_101_rules_of_black_metal, black-thrash, american_black_metal, australian_war_metal, hellish_metal, second-wave_black_metal, black_and_roll",Black metal is an extreme subgenre of heavy metal music.,blackmetal,YES,,,
,bn:03263545n,,"black_metal, black_'n'_roll, melodic_black_metal, pakistani_metal, black_metal_music, atmospheric_black_metal, black_ambient, kvlt, norscore, experimental_black_metal, folk/black_metal, folk_black_metal, war_metal, norsecore, avant-garde_black_metal, blackened_thrash_metal, neckbeard_deathcamp, satanic_metal, red_and_anarchist_black_metal, black_metal_band, mass_murder_metal, blackened_hardcore, second_wave_black_metal, melodic_black/death, melodic_blackened_death_metal, blackened_thrash, black-doom_metal, blackened_melodic_death_metal, ambient_black_metal, mortuary_drape, psychedelic_black_metal, suicidal_black_metal, blackened_grindcore, depressive_suicidal_black_metal, first_wave_black_metal, depressive_black_metal, blackmetal, dsbm, the_101_rules_of_black_metal, black-thrash, american_black_metal, australian_war_metal, hellish_metal, second-wave_black_metal, black_and_roll",Black metal is an extreme subgenre of heavy metal music.,melodieuze_black_metal,YES,,,
,bn:03263545n,,"black_metal, black_'n'_roll, melodic_black_metal, pakistani_metal, black_metal_music, atmospheric_black_metal, black_ambient, kvlt, norscore, experimental_black_metal, folk/black_metal, folk_black_metal, war_metal, norsecore, avant-garde_black_metal, blackened_thrash_metal, neckbeard_deathcamp, satanic_metal, red_and_anarchist_black_metal, black_metal_band, mass_murder_metal, blackened_hardcore, second_wave_black_metal, melodic_black/death, melodic_blackened_death_metal, blackened_thrash, black-doom_metal, blackened_melodic_death_metal, ambient_black_metal, mortuary_drape, psychedelic_black_metal, suicidal_black_metal, blackened_grindcore, depressive_suicidal_black_metal, first_wave_black_metal, depressive_black_metal, blackmetal, dsbm, the_101_rules_of_black_metal, black-thrash, american_black_metal, australian_war_metal, hellish_metal, second-wave_black_metal, black_and_roll",Black metal is an extreme subgenre of heavy metal music.,melodic_black_metal,YES,,,
