wn_synset,bn:id,pos,lemmata EN,definition,lemmata FR,is it related to music?
,bn:00000132n,,"78_rpm, 78_rpm_disc, 78_rpm_record, seventy-eight, 78",A shellac based phonograph record that played at 78 revolutions per minute,78,YES
,bn:00000132n,,"78_rpm, 78_rpm_disc, 78_rpm_record, seventy-eight, 78",A shellac based phonograph record that played at 78 revolutions per minute,soixante-dix-huit,YES
,bn:00000968n,,"nonverbal_hallucination, non-verbal_hallucination, voice_hearing, auditory_verbal_hallucinations, auditory_hallucination, auditory_hallucinations, audio_hallucination, paracusia, acousma",Illusory auditory perception of strange nonverbal sounds,hallucination_auditive_non_verbale,YES
,bn:00000968n,,"nonverbal_hallucination, non-verbal_hallucination, voice_hearing, auditory_verbal_hallucinations, auditory_hallucination, auditory_hallucinations, audio_hallucination, paracusia, acousma",Illusory auditory perception of strange nonverbal sounds,acousma,YES
,bn:00000968n,,"nonverbal_hallucination, non-verbal_hallucination, voice_hearing, auditory_verbal_hallucinations, auditory_hallucination, auditory_hallucinations, audio_hallucination, paracusia, acousma",Illusory auditory perception of strange nonverbal sounds,hallucinations_auditives,YES
,bn:00000968n,,"nonverbal_hallucination, non-verbal_hallucination, voice_hearing, auditory_verbal_hallucinations, auditory_hallucination, auditory_hallucinations, audio_hallucination, paracusia, acousma",Illusory auditory perception of strange nonverbal sounds,hallucination_auditive,YES
,bn:00000968n,,"nonverbal_hallucination, non-verbal_hallucination, voice_hearing, auditory_verbal_hallucinations, auditory_hallucination, auditory_hallucinations, audio_hallucination, paracusia, acousma",Illusory auditory perception of strange nonverbal sounds,hallucination_sonore,YES
,bn:00000968n,,"nonverbal_hallucination, non-verbal_hallucination, voice_hearing, auditory_verbal_hallucinations, auditory_hallucination, auditory_hallucinations, audio_hallucination, paracusia, acousma",Illusory auditory perception of strange nonverbal sounds,paracousie,YES
,bn:00000976n,,"acoustic_impedance, specific_acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, characteristic_acoustic_impedance, acoustical_impedance, sound_impedance, volume_velocity",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,impédance_acoustique_caractéristique,YES
,bn:00000976n,,"acoustic_impedance, specific_acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, characteristic_acoustic_impedance, acoustical_impedance, sound_impedance, volume_velocity",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,impedance_acoustique,YES
,bn:00000976n,,"acoustic_impedance, specific_acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, characteristic_acoustic_impedance, acoustical_impedance, sound_impedance, volume_velocity",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,impédance_acoustique_caractéristique_d'un_milieu,YES
,bn:00000976n,,"acoustic_impedance, specific_acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, characteristic_acoustic_impedance, acoustical_impedance, sound_impedance, volume_velocity",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,réactance_acoustique,YES
,bn:00000976n,,"acoustic_impedance, specific_acoustic_impedance, acoustic_reactance, acoustic_resistance, characteristic_impedance_of_a_medium_for_longitudinal_waves, characteristic_impedance_of_a_medium, characteristic_specific_acoustic_impedance, radiation_impedence, impedance_curve, characteristic_acoustic_impedance, acoustical_impedance, sound_impedance, volume_velocity",Opposition to the flow of sound through a surface; acoustic resistance is the real component of acoustic impedance and acoustic reactance is the imaginary component,résistance_acoustique,YES
,bn:00000981n,,"sound_intensity, acoustic_intensity, sound_pressure_level, acoustic_power, acoustic_level, sound_intensity_level, SIL, acoustic_intensity_level",The physical intensity of sound,niveau_acoustique,YES
