wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?
,bn:03452975n,,"western_swing, country/western_swing, country_swing, texas_swing",Western swing music is a subgenre of American country music that originated in the late 1920s in the West and South among the region's Western string bands.,country_swing,YES
,bn:03644395n,,"swedish_ballad_tradition, scandinavian_ballad_tradition",The Scandinavian ballad tradition is the tradition of Scandinavian poetic singer-songwriters.,tradizione_delle_ballate_svedesi,YES
,bn:03887014n,,"texas_blues, acoustic_texas_blues",Texas blues is blues music from Texas.,blues_acustico_del_texas,YES
,bn:03348542n,,"teen_pop, teenpop, teen-pop, millennial_pop, disney_pop, teenybopper_pop, teen_rock, teen_culture, teen_genre, teen_music, teen_pop_music","Teen pop is a subgenre of pop music that is created, marketed and oriented towards preteens and teenagers.",musica_teen_pop,YES
,bn:03475418n,,"space_age_pop, space_age_music, futuristic_lounge_music, space_pop, space-age_pop",Space age pop is a subgenre of pop and easy listening music associated with Mexican and American composers and songwriters in the space age of the 1950s and 1960s.,musica_space_age,YES
,bn:03475418n,,"space_age_pop, space_age_music, futuristic_lounge_music, space_pop, space-age_pop",Space age pop is a subgenre of pop and easy listening music associated with Mexican and American composers and songwriters in the space age of the 1950s and 1960s.,space_pop,YES
,bn:13886695n,,"southern_gospel, southern_gospel_music, white_gospel",Southern gospel music is a genre of Christian music.,southern_gospel,YES
,bn:13886695n,,"southern_gospel, southern_gospel_music, white_gospel",Southern gospel music is a genre of Christian music.,musica_gospel_del_sud,YES
,bn:13886695n,,"southern_gospel, southern_gospel_music, white_gospel",Southern gospel music is a genre of Christian music.,white_gospel,YES
,bn:03613619n,,"smooth_jazz, soft_jazz, pop_jazz, new_adult_contemporary, smooth_ac, new_ac_(nac)/smooth_jazz",Smooth jazz is a genre of commercially oriented crossover jazz that became dominant in the 1980s and early 1990s.,soft_jazz,YES
,bn:03613619n,,"smooth_jazz, soft_jazz, pop_jazz, new_adult_contemporary, smooth_ac, new_ac_(nac)/smooth_jazz",Smooth jazz is a genre of commercially oriented crossover jazz that became dominant in the 1980s and early 1990s.,pop_jazz,YES
,bn:03290807n,,"singing_school, singing_master, singing_schools",A singing school is a school in which students are taught to sightread vocal music.,scuole_di_canto,YES
,bn:03874865n,,"early_norwegian_black_metal_scene, black_metal_inner_circle, early_norwegian_black_metal, murder_of_euronymous, neseblod_records, helvete",The early Norwegian black metal scene of the 1990s is credited with creating the modern black metal genre and produced some of the most acclaimed and influential artists in extreme metal.,cerchia_ristretta_black_metal,YES
,bn:03874865n,,"early_norwegian_black_metal_scene, black_metal_inner_circle, early_norwegian_black_metal, murder_of_euronymous, neseblod_records, helvete",The early Norwegian black metal scene of the 1990s is credited with creating the modern black metal genre and produced some of the most acclaimed and influential artists in extreme metal.,black_metal_inner_circle,YES
,bn:03874865n,,"early_norwegian_black_metal_scene, black_metal_inner_circle, early_norwegian_black_metal, murder_of_euronymous, neseblod_records, helvete",The early Norwegian black metal scene of the 1990s is credited with creating the modern black metal genre and produced some of the most acclaimed and influential artists in extreme metal.,black_circle,YES
